                 cnd  |                root  |      Central Neutron Detector  |                       0*cm 0*cm (-2.185+2.714)*cm  |                                   0 0 0  | 33bb99   |                Tube  |                   28.95*cm 38.56*cm 39.578*cm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   0   |   0   |                  no  |                  no  |                                      no 
CND_Layer1_Paddle_21  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 21  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 150*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    21   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 21 
CND_Layer1_Paddle_22  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 22  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 165*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    22   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 22 
CND_Layer1_Paddle_23  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 23  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 165*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    23   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 23 
CND_Layer1_Paddle_24  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 24  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 180*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    24   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 24 
CND_Layer1_Paddle_25  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 25  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 180*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    25   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 25 
CND_Layer1_Paddle_26  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 26  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 195*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    26   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 26 
CND_Layer1_Paddle_27  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 27  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 195*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    27   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 27 
CND_Layer1_Paddle_28  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 28  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 210*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    28   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 28 
CND_Layer1_Paddle_29  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 29  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 210*deg  | 33dd66   |       G4GenericTrap  |33.286*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm -3.61619663791845*cm 29*cm -4.01115413068064*cm 32*cm -0.025*cm 32*cm -0.025*cm 29*cm  |       ScintillatorB  |                  no  |    29   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 29 
CND_Layer1_Paddle_30  |                 cnd  |Central Neutron Detector, Layer 1, Scintillator 30  |                               0*cm 0*cm -6.242*cm  |                     0*deg 0*deg 225*deg  | 33dd66   |       G4GenericTrap  |33.286*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm 0.025*cm 29*cm 0.025*cm 32*cm 4.01115413068064*cm 32*cm 3.61619663791845*cm 29*cm  |       ScintillatorB  |                  no  |    30   |     1   |     1   |   1   |   1   |                 cnd  |                 cnd  |         layer manual 1 paddle manual 30 
