                       U_view_layer_7_s4  |                        pcal_s4  |                       PCAL Sector 4 U-view Layer 7  |           0.0000*cm 0.0000*cm -1.2000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                      U_view_layer_10_s4  |                        pcal_s4  |                      PCAL Sector 4 U-view Layer 10  |            0.0000*cm 0.0000*cm 2.4000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                      U_view_layer_13_s4  |                        pcal_s4  |                      PCAL Sector 4 U-view Layer 13  |            0.0000*cm 0.0000*cm 6.0000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                       U_view_layer_1_s5  |                        pcal_s5  |                       PCAL Sector 5 U-view Layer 1  |           0.0000*cm 0.0000*cm -8.4000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                       U_view_layer_4_s5  |                        pcal_s5  |                       PCAL Sector 5 U-view Layer 4  |           0.0000*cm 0.0000*cm -4.8000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                       U_view_layer_7_s5  |                        pcal_s5  |                       PCAL Sector 5 U-view Layer 7  |           0.0000*cm 0.0000*cm -1.2000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                      U_view_layer_10_s5  |                        pcal_s5  |                      PCAL Sector 5 U-view Layer 10  |            0.0000*cm 0.0000*cm 2.4000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                      U_view_layer_13_s5  |                        pcal_s5  |                      PCAL Sector 5 U-view Layer 13  |            0.0000*cm 0.0000*cm 6.0000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                       U_view_layer_1_s6  |                        pcal_s6  |                       PCAL Sector 6 U-view Layer 1  |           0.0000*cm 0.0000*cm -8.4000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                       U_view_layer_4_s6  |                        pcal_s6  |                       PCAL Sector 6 U-view Layer 4  |           0.0000*cm 0.0000*cm -4.8000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                       U_view_layer_7_s6  |                        pcal_s6  |                       PCAL Sector 6 U-view Layer 7  |           0.0000*cm 0.0000*cm -1.2000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                      U_view_layer_10_s6  |                        pcal_s6  |                      PCAL Sector 6 U-view Layer 10  |            0.0000*cm 0.0000*cm 2.4000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
                      U_view_layer_13_s6  |                        pcal_s6  |                      PCAL Sector 6 U-view Layer 13  |            0.0000*cm 0.0000*cm 6.0000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff6633  |     G4Trap  |        0.5000*cm 0.00*deg 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg 193.1250*cm 0.0001*cm 197.6000*cm 0.00*deg |          G4_AIR  |    no  |     1  |     1  |     1  |     0  |     0  |         no  |         no  |                                                           no 
          U_view_strip_1_layer_1_pcal_s1  |              U_view_layer_1_s1  |              PCAL Sector 1 U-view Strip 1, Layer 1  |         0.0000*cm -183.1664*cm 0.0000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff66cc  |     G4Trap  |              0.5000*cm 0.00*deg 0.00*deg 2.2500*cm 3.66763*cm 5.9704*cm 0.00*deg 2.2500*cm 3.66763*cm 5.9704*cm 0.00*deg |    scintillator  |    no  |     1  |     1  |     1  |     1  |     1  |       pcal  |       pcal  | sector manual 1 module manual 1 view manual 1 strip manual 1 
          U_view_strip_2_layer_1_pcal_s1  |              U_view_layer_1_s1  |              PCAL Sector 1 U-view Strip 2, Layer 1  |         0.0000*cm -178.6664*cm 0.0000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     66ff99  |     G4Trap  |              0.5000*cm 0.00*deg 0.00*deg 2.2500*cm 5.97039*cm 8.2732*cm 0.00*deg 2.2500*cm 5.97039*cm 8.2732*cm 0.00*deg |    scintillator  |    no  |     1  |     1  |     1  |     1  |     1  |       pcal  |       pcal  | sector manual 1 module manual 1 view manual 1 strip manual 2 
          U_view_strip_3_layer_1_pcal_s1  |              U_view_layer_1_s1  |              PCAL Sector 1 U-view Strip 3, Layer 1  |         0.0000*cm -174.1664*cm 0.0000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff66cc  |     G4Trap  |            0.5000*cm 0.00*deg 0.00*deg 2.2500*cm 8.27316*cm 10.5759*cm 0.00*deg 2.2500*cm 8.27316*cm 10.5759*cm 0.00*deg |    scintillator  |    no  |     1  |     1  |     1  |     1  |     1  |       pcal  |       pcal  | sector manual 1 module manual 1 view manual 1 strip manual 3 
          U_view_strip_4_layer_1_pcal_s1  |              U_view_layer_1_s1  |              PCAL Sector 1 U-view Strip 4, Layer 1  |         0.0000*cm -169.6664*cm 0.0000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     66ff99  |     G4Trap  |          0.5000*cm 0.00*deg 0.00*deg 2.2500*cm 10.57593*cm 12.8787*cm 0.00*deg 2.2500*cm 10.57593*cm 12.8787*cm 0.00*deg |    scintillator  |    no  |     1  |     1  |     1  |     1  |     1  |       pcal  |       pcal  | sector manual 1 module manual 1 view manual 1 strip manual 4 
          U_view_strip_5_layer_1_pcal_s1  |              U_view_layer_1_s1  |              PCAL Sector 1 U-view Strip 5, Layer 1  |         0.0000*cm -165.1664*cm 0.0000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff66cc  |     G4Trap  |          0.5000*cm 0.00*deg 0.00*deg 2.2500*cm 12.87869*cm 15.1815*cm 0.00*deg 2.2500*cm 12.87869*cm 15.1815*cm 0.00*deg |    scintillator  |    no  |     1  |     1  |     1  |     1  |     1  |       pcal  |       pcal  | sector manual 1 module manual 1 view manual 1 strip manual 5 
          U_view_strip_6_layer_1_pcal_s1  |              U_view_layer_1_s1  |              PCAL Sector 1 U-view Strip 6, Layer 1  |         0.0000*cm -160.6664*cm 0.0000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     66ff99  |     G4Trap  |          0.5000*cm 0.00*deg 0.00*deg 2.2500*cm 15.18146*cm 17.4842*cm 0.00*deg 2.2500*cm 15.18146*cm 17.4842*cm 0.00*deg |    scintillator  |    no  |     1  |     1  |     1  |     1  |     1  |       pcal  |       pcal  | sector manual 1 module manual 1 view manual 1 strip manual 6 
          U_view_strip_7_layer_1_pcal_s1  |              U_view_layer_1_s1  |              PCAL Sector 1 U-view Strip 7, Layer 1  |         0.0000*cm -156.1664*cm 0.0000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff66cc  |     G4Trap  |          0.5000*cm 0.00*deg 0.00*deg 2.2500*cm 17.48423*cm 19.7870*cm 0.00*deg 2.2500*cm 17.48423*cm 19.7870*cm 0.00*deg |    scintillator  |    no  |     1  |     1  |     1  |     1  |     1  |       pcal  |       pcal  | sector manual 1 module manual 1 view manual 1 strip manual 7 
          U_view_strip_8_layer_1_pcal_s1  |              U_view_layer_1_s1  |              PCAL Sector 1 U-view Strip 8, Layer 1  |         0.0000*cm -151.6664*cm 0.0000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     66ff99  |     G4Trap  |          0.5000*cm 0.00*deg 0.00*deg 2.2500*cm 19.78699*cm 22.0898*cm 0.00*deg 2.2500*cm 19.78699*cm 22.0898*cm 0.00*deg |    scintillator  |    no  |     1  |     1  |     1  |     1  |     1  |       pcal  |       pcal  | sector manual 1 module manual 1 view manual 1 strip manual 8 
          U_view_strip_9_layer_1_pcal_s1  |              U_view_layer_1_s1  |              PCAL Sector 1 U-view Strip 9, Layer 1  |         0.0000*cm -147.1664*cm 0.0000*cm  |          ordered: zxy 0.0*deg 0.0*deg 0.0*deg  |     ff66cc  |     G4Trap  |          0.5000*cm 0.00*deg 0.00*deg 2.2500*cm 22.08976*cm 24.3925*cm 0.00*deg 2.2500*cm 22.08976*cm 24.3925*cm 0.00*deg |    scintillator  |    no  |     1  |     1  |     1  |     1  |     1  |       pcal  |       pcal  | sector manual 1 module manual 1 view manual 1 strip manual 9 
